Name, Artist, Album, Release Date, Length, Popularity,Acoustics, Dance, Energy, Speech, Tempo, Time Signature 
Prisoner (feat. Dua Lipa),Miley Cyrus,Prisoner (feat. Dua Lipa),2020-11-20,3:49,0,0.0103,0.781,0.67,0.0452,127.99,4
Therefore I Am,Billie Eilish,Therefore I Am,2020-11-12,3:54,90,0.218,0.889,0.34,0.0697,94.009,4
Dakiti,Bad Bunny,Dakiti,2020-10-30,3:25,99,0.401,0.731,0.573,0.0544,109.928,4
positions,Ariana Grande,positions,2020-10-23,3:52,90,0.468,0.736,0.802,0.0864,144.005,4
What You Know Bout Love,Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,3:40,96,0.65,0.709,0.548,0.353,83.995,4
Levitating (feat. DaBaby),Dua Lipa,Levitating (feat. DaBaby),2020-10-01,3:23,89,0.00883,0.702,0.825,0.0601,102.977,4
Mood (feat. iann dior),24kGoldn,Mood (feat. iann dior),2020-07-24,2:21,100,0.221,0.7,0.722,0.0369,90.989,4
Lonely (with benny blanco),Justin Bieber,Lonely (with benny blanco),2020-10-16,2:29,95,0.864,0.631,0.239,0.0398,79.859,4
Put Your Records On,Ritt Momney,Put Your Records On,2020-04-24,4:30,93,0.0563,0.399,0.491,0.0538,91.066,4
HOLIDAY,Lil Nas X,HOLIDAY,2020-11-13,3:35,80,0.12,0.81,0.511,0.164,151.947,4
Hawái - Remix,Maluma,Hawái (Remix),2020-11-05,3:20,88,0.105,0.766,0.788,0.312,179.984,4
34+35,Ariana Grande,Positions,2020-10-30,3:54,92,0.237,0.83,0.585,0.094,109.978,4
you broke me first,Tate McRae,you broke me first,2020-04-17,3:49,95,0.786,0.642,0.374,0.0545,124.099,4
Take You Dancing,Jason Derulo,Take You Dancing,2020-07-22,3:10,92,0.0332,0.789,0.711,0.041,112.985,4
Holy (feat. Chance The Rapper),Justin Bieber,Holy,2020-09-18,4:32,95,0.196,0.673,0.704,0.36,86.919,4
For The Night (feat. Lil Baby & DaBaby),Pop Smoke,Shoot For The Stars Aim For The Moon,2020-07-03,3:10,95,0.114,0.823,0.586,0.2,125.971,4
SO DONE,The Kid LAROI,SO DONE,2020-10-23,2:07,87,0.232,0.719,0.598,0.077,142.592,4
Deep End,Fousheé,Deep End,2020-07-31,2:21,88,0.758,0.711,0.592,0.23,124.749,4
Head & Heart (feat. MNEK),Joel Corry,Head & Heart (feat. MNEK),2020-07-03,3:46,77,0.168,0.732,0.874,0.0662,122.961,4
Laugh Now Cry Later (feat. Lil Durk),Drake,Laugh Now Cry Later (feat. Lil Durk),2020-08-14,4:21,94,0.244,0.761,0.518,0.134,133.976,4
pov,Ariana Grande,Positions,2020-10-30,3:22,74,0.36,0.474,0.533,0.0559,131.762,4
Wonder,Shawn Mendes,Wonder,2020-10-02,3:53,92,0.131,0.333,0.637,0.0581,139.898,4
Dynamite,BTS,Dynamite,2020-08-21,3:19,68,0.0112,0.746,0.765,0.0993,114.044,4
Midnight Sky,Miley Cyrus,Midnight Sky,2020-08-14,4:43,92,0.00115,0.705,0.814,0.0346,110.0,4
my ex's best friend (with blackbear),Machine Gun Kelly,my ex's best friend (with blackbear),2020-08-07,2:19,70,0.00391,0.728,0.685,0.0433,124.934,4
Paradise (feat. Dermot Kennedy),MEDUZA,Paradise,2020-10-30,3:48,85,0.0689,0.632,0.595,0.0401,124.114,4
Golden,Harry Styles,Fine Line,2019-12-13,3:29,89,0.21,0.448,0.838,0.0557,139.863,4
Diamonds,Sam Smith,Diamonds,2020-09-17,4:34,88,0.154,0.653,0.667,0.0423,104.181,4
The Business,Tiësto,The Business,2020-09-16,3:44,86,0.414,0.798,0.62,0.232,120.031,4
Daisy,Ashnikko,Daisy,2020-07-09,2:27,90,0.235,0.834,0.663,0.133,121.876,4
Sofia,Clairo,Immunity,2019-08-02,3:08,90,0.598,0.744,0.619,0.039,112.997,4
At My Worst,Pink Sweat$,The Prelude,2020-07-17,3:50,85,0.777,0.813,0.415,0.0349,91.921,4
ALWAYS DO,The Kid LAROI,F*CK LOVE (SAVAGE),2020-11-06,3:32,81,0.0442,0.762,0.426,0.113,167.827,4
Mad at Disney,salem ilese,Mad at Disney,2020-07-24,2:17,89,0.424,0.738,0.621,0.0486,113.968,4
Watermelon Sugar,Harry Styles,Fine Line,2019-12-13,3:54,94,0.122,0.548,0.816,0.0465,95.39,4
Breaking Me,Topic,Breaking Me,2019-12-19,3:47,92,0.223,0.789,0.72,0.218,122.031,4
Se Te Nota (with Guaynaa),Lele Pons,Se Te Nota (with Guaynaa),2020-09-02,3:36,92,0.0907,0.905,0.686,0.0664,103.013,4
ROCKSTAR (feat. Roddy Ricch),DaBaby,BLAME IT ON BABY,2020-04-17,3:02,94,0.247,0.746,0.69,0.164,89.977,4
Tick Tock (feat. 24kGoldn),Clean Bandit,Tick Tock (feat. 24kGoldn),2020-08-21,3:58,88,0.369,0.779,0.705,0.0344,101.022,4
Tyler Herro,Jack Harlow,Tyler Herro,2020-10-22,3:36,88,0.11,0.794,0.756,0.136,123.066,4
Spicy (feat. Post Malone),Ty Dolla $ign,Spicy (feat. Post Malone),2020-10-21,2:24,84,0.14,0.784,0.496,0.0435,100.002,4
Blueberry Eyes (feat. SUGA of BTS),MAX,Blueberry Eyes (feat. SUGA of BTS),2020-09-15,3:52,84,0.454,0.746,0.611,0.101,149.967,4
Go Crazy,Chris Brown,Slime & B,2020-05-08,3:57,89,0.316,0.755,0.578,0.145,94.148,4
POPSTAR (feat. Drake),DJ Khaled,POPSTAR (feat. Drake),2020-07-17,3:20,91,0.057,0.8,0.56,0.261,163.071,4
Come & Go (with Marshmello),Juice WRLD,Legends Never Die,2020-07-10,3:25,57,0.0172,0.625,0.814,0.0657,144.991,4
WAP (feat. Megan Thee Stallion),Cardi B,WAP (feat. Megan Thee Stallion),2020-08-07,3:08,96,0.0194,0.935,0.454,0.375,133.073,4
Ice Cream (with Selena Gomez),BLACKPINK,THE ALBUM,2020-10-02,3:56,83,0.0374,0.785,0.719,0.354,159.953,4
Heather,Conan Gray,Kid Krow,2020-03-20,3:18,94,0.584,0.357,0.425,0.0333,102.078,3
Savage Love (Laxed - Siren Beat),Jawsh 685,Savage Love (Laxed - Siren Beat),2020-06-11,3:51,92,0.234,0.767,0.481,0.0803,150.076,4
